# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 1 - coadread
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 70
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	880	50	98.0%
2	4834	42	82.4%
3	18	40	78.4%
4	474	38	74.5%
5	3354	38	74.5%
6	2977	28	54.9%
7	4721	28	54.9%
8	2565	20	39.2%
9	4814	20	39.2%
10	4372	17	33.3%
11	2937	17	33.3%
12	4428	16	31.4%
13	4967	11	21.6%
14	3268	10	19.6%
15	3090	10	19.6%
16	3981	9	17.6%
17	4023	9	17.6%
18	4741	7	13.7%
19	3812	7	13.7%
20	3853	6	11.8%
21	4894	6	11.8%
22	2619	6	11.8%
23	680	5	9.8%
24	2041	5	9.8%
25	4934	5	9.8%
26	2581	5	9.8%
27	4766	5	9.8%
28	4765	5	9.8%
29	2214	5	9.8%
30	1235	4	7.8%
31	2496	4	7.8%
32	4592	4	7.8%
33	4833	3	5.9%
34	3029	3	5.9%
35	3746	3	5.9%
36	3541	2	3.9%
37	1428	2	3.9%
38	4808	2	3.9%
39	4078	2	3.9%
40	4237	2	3.9%
41	4074	2	3.9%
42	4684	2	3.9%
43	4784	2	3.9%
44	4427	2	3.9%
45	3248	2	3.9%
46	4083	2	3.9%
47	3660	2	3.9%
48	414	1	2.0%
49	3366	1	2.0%
50	85	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 1 - coadread
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 70
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	880	49	98.0%
2	4834	41	82.0%
3	18	39	78.0%
4	474	37	74.0%
5	3354	37	74.0%
6	2977	27	54.0%
7	4721	27	54.0%
8	4814	19	38.0%
9	2565	19	38.0%
10	4372	17	34.0%
11	2937	17	34.0%
12	4428	15	30.0%
13	4967	11	22.0%
14	3268	10	20.0%
15	3090	10	20.0%
16	3981	9	18.0%
17	4023	9	18.0%
18	4741	7	14.0%
19	3812	7	14.0%
20	3853	6	12.0%
21	4894	6	12.0%
22	2619	6	12.0%
23	680	5	10.0%
24	2041	5	10.0%
25	4934	5	10.0%
26	2581	5	10.0%
27	4766	5	10.0%
28	4765	5	10.0%
29	2214	5	10.0%
30	1235	4	8.0%
31	2496	4	8.0%
32	4592	4	8.0%
33	4833	3	6.0%
34	3029	3	6.0%
35	3746	3	6.0%
36	3541	2	4.0%
37	1428	2	4.0%
38	4808	2	4.0%
39	4078	2	4.0%
40	4237	2	4.0%
41	4074	2	4.0%
42	4684	2	4.0%
43	4784	2	4.0%
44	4427	2	4.0%
45	3248	2	4.0%
46	4083	2	4.0%
47	3660	2	4.0%
48	414	1	2.0%
49	3366	1	2.0%
50	85	1	2.0%
51	2561	1	2.0%
52	1047	1	2.0%
53	4611	1	2.0%
54	4720	1	2.0%
55	4893	1	2.0%
56	2936	1	2.0%
57	3267	1	2.0%
58	3811	1	2.0%
59	4740	1	2.0%
60	4783	1	2.0%
61	1881	1	2.0%
62	4515	1	2.0%
63	4842	1	2.0%
64	1234	1	2.0%
65	3870	1	2.0%
66	3913	1	2.0%
67	4463	1	2.0%
68	4256	1	2.0%
69	1281	1	2.0%
70	3777	1	2.0%
