# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 3 - coadread
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 83
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	880	49	98.0%
2	2618	46	92.0%
3	2750	41	82.0%
4	2875	39	78.0%
5	4831	24	48.0%
6	3091	24	48.0%
7	2936	20	40.0%
8	339	20	40.0%
9	4681	19	38.0%
10	428	19	38.0%
11	1880	16	32.0%
12	3011	16	32.0%
13	4016	15	30.0%
14	4527	14	28.0%
15	3879	13	26.0%
16	2976	12	24.0%
17	3527	12	24.0%
18	4839	9	18.0%
19	491	8	16.0%
20	4680	7	14.0%
21	4232	6	12.0%
22	671	5	10.0%
23	4015	5	10.0%
24	3306	5	10.0%
25	3761	4	8.0%
26	4435	4	8.0%
27	2	4	8.0%
28	2753	4	8.0%
29	64	4	8.0%
30	1519	4	8.0%
31	2713	4	8.0%
32	1573	4	8.0%
33	394	4	8.0%
34	2779	3	6.0%
35	834	3	6.0%
36	4457	3	6.0%
37	3152	3	6.0%
38	2495	3	6.0%
39	4732	3	6.0%
40	1539	2	4.0%
41	4781	2	4.0%
42	3367	2	4.0%
43	3267	2	4.0%
44	377	2	4.0%
45	2698	2	4.0%
46	1023	2	4.0%
47	4664	2	4.0%
48	4325	2	4.0%
49	4526	2	4.0%
50	4149	2	4.0%
51	4759	2	4.0%
52	731	2	4.0%
53	1223	2	4.0%
54	1642	2	4.0%
55	649	1	2.0%
56	1851	1	2.0%
57	4763	1	2.0%
58	4424	1	2.0%
59	440	1	2.0%
60	3061	1	2.0%
61	4426	1	2.0%
62	1516	1	2.0%
63	4731	1	2.0%
64	3090	1	2.0%
65	878	1	2.0%
66	2350	1	2.0%
67	2295	1	2.0%
68	4830	1	2.0%
69	4964	1	2.0%
70	4006	1	2.0%
71	3813	1	2.0%
72	2113	1	2.0%
73	4952	1	2.0%
74	2533	1	2.0%
75	3897	1	2.0%
76	4437	1	2.0%
77	2697	1	2.0%
78	2935	1	2.0%
79	3305	1	2.0%
80	3526	1	2.0%
81	3655	1	2.0%
82	4231	1	2.0%
83	4609	1	2.0%
