# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 0 - coadread
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 127
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	880	47	94.0%
2	2619	37	74.0%
3	474	33	66.0%
4	3746	32	64.0%
5	2565	29	58.0%
6	4834	29	58.0%
7	3304	25	50.0%
8	426	18	36.0%
9	4078	18	36.0%
10	3880	18	36.0%
11	4967	18	36.0%
12	3354	16	32.0%
13	1234	15	30.0%
14	1023	13	26.0%
15	2970	11	22.0%
16	3029	11	22.0%
17	2496	11	22.0%
18	4833	7	14.0%
19	4136	7	14.0%
20	2977	7	14.0%
21	4372	6	12.0%
22	4741	6	12.0%
23	212	5	10.0%
24	3476	5	10.0%
25	4858	5	10.0%
26	4966	4	8.0%
27	3287	4	8.0%
28	671	4	8.0%
29	3623	4	8.0%
30	4762	4	8.0%
31	2876	4	8.0%
32	2564	4	8.0%
33	3745	4	8.0%
34	4965	4	8.0%
35	2910	4	8.0%
36	4740	3	6.0%
37	366	3	6.0%
38	2937	3	6.0%
39	3868	3	6.0%
40	2780	3	6.0%
41	414	3	6.0%
42	2889	3	6.0%
43	3738	3	6.0%
44	3946	3	6.0%
45	3353	3	6.0%
46	4077	3	6.0%
47	4680	3	6.0%
48	3853	2	4.0%
49	3945	2	4.0%
50	1573	2	4.0%
51	3812	2	4.0%
52	3090	2	4.0%
53	2214	2	4.0%
54	2581	2	4.0%
55	4894	2	4.0%
56	2028	2	4.0%
57	4199	2	4.0%
58	4923	2	4.0%
59	3163	2	4.0%
60	440	2	4.0%
61	4017	2	4.0%
62	2440	2	4.0%
63	4643	2	4.0%
64	37	2	4.0%
65	680	2	4.0%
66	4083	2	4.0%
67	2618	2	4.0%
68	4135	2	4.0%
69	1412	2	4.0%
70	3695	2	4.0%
71	1233	2	4.0%
72	4832	2	4.0%
73	4191	2	4.0%
74	3303	2	4.0%
75	4371	2	4.0%
76	4233	2	4.0%
77	4232	1	2.0%
78	3272	1	2.0%
79	4176	1	2.0%
80	4308	1	2.0%
81	4612	1	2.0%
82	681	1	2.0%
83	4531	1	2.0%
84	3301	1	2.0%
85	4150	1	2.0%
86	931	1	2.0%
87	4956	1	2.0%
88	3238	1	2.0%
89	2495	1	2.0%
90	2969	1	2.0%
91	2976	1	2.0%
92	508	1	2.0%
93	2264	1	2.0%
94	2438	1	2.0%
95	3302	1	2.0%
96	3352	1	2.0%
97	4021	1	2.0%
98	4076	1	2.0%
99	4134	1	2.0%
100	4760	1	2.0%
