# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 1 - stad
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 66
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	2543	39	78.0%
2	190	31	62.0%
3	3902	23	46.0%
4	2204	19	38.0%
5	4279	16	32.0%
6	4914	14	28.0%
7	3421	13	26.0%
8	2124	10	20.0%
9	3361	7	14.0%
10	2587	6	12.0%
11	3228	5	10.0%
12	2626	5	10.0%
13	3942	4	8.0%
14	3829	4	8.0%
15	2990	3	6.0%
16	1711	3	6.0%
17	2048	3	6.0%
18	3113	3	6.0%
19	275	3	6.0%
20	3308	3	6.0%
21	1302	3	6.0%
22	2271	3	6.0%
23	3911	3	6.0%
24	4650	3	6.0%
25	1883	2	4.0%
26	2678	2	4.0%
27	4470	2	4.0%
28	1124	2	4.0%
29	381	2	4.0%
30	786	2	4.0%
31	4797	2	4.0%
32	3835	2	4.0%
33	47	1	2.0%
34	3993	1	2.0%
35	1566	1	2.0%
36	4917	1	2.0%
37	4422	1	2.0%
38	1461	1	2.0%
39	1589	1	2.0%
40	3449	1	2.0%
41	3664	1	2.0%
42	3937	1	2.0%
43	4638	1	2.0%
44	813	1	2.0%
45	3659	1	2.0%
46	765	1	2.0%
47	1296	1	2.0%
48	4169	1	2.0%
49	1738	1	2.0%
50	3779	1	2.0%
51	2073	1	2.0%
52	745	1	2.0%
53	4221	1	2.0%
54	2365	1	2.0%
55	18	1	2.0%
56	3347	1	2.0%
57	501	1	2.0%
58	2662	1	2.0%
59	4238	1	2.0%
60	4932	1	2.0%
61	4733	1	2.0%
62	3963	1	2.0%
63	311	1	2.0%
64	3272	1	2.0%
65	403	1	2.0%
66	4350	1	2.0%
