# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 3 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 53
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	3782	42	84.0%
2	4257	40	80.0%
3	3991	37	74.0%
4	4002	34	68.0%
5	4885	33	66.0%
6	4741	26	52.0%
7	1135	24	48.0%
8	3826	17	34.0%
9	1711	16	32.0%
10	3485	16	32.0%
11	2909	14	28.0%
12	3893	14	28.0%
13	3577	12	24.0%
14	1266	10	20.0%
15	4884	9	18.0%
16	1882	9	18.0%
17	990	9	18.0%
18	4163	9	18.0%
19	2803	7	14.0%
20	4989	6	12.0%
21	4372	6	12.0%
22	66	6	12.0%
23	3110	5	10.0%
24	307	5	10.0%
25	3897	5	10.0%
26	1059	5	10.0%
27	3542	5	10.0%
28	224	4	8.0%
29	4994	4	8.0%
30	4270	4	8.0%
31	3128	4	8.0%
32	2112	3	6.0%
33	3431	3	6.0%
34	3605	3	6.0%
35	4664	3	6.0%
36	1221	3	6.0%
37	453	2	4.0%
38	2132	1	2.0%
39	3457	1	2.0%
40	2584	1	2.0%
41	4547	1	2.0%
42	4336	1	2.0%
43	3770	1	2.0%
44	4797	1	2.0%
45	591	1	2.0%
46	1226	1	2.0%
47	4921	1	2.0%
48	375	1	2.0%
49	4982	1	2.0%
50	2209	1	2.0%
51	94	1	2.0%
52	2048	1	2.0%
53	3389	1	2.0%
